OBJECTID,FEATURE_ID,OPERATIONAL,LENGTH,DIRECTION,CARRIAGEWAY,ROAD_NAME,BOROUGH,WEEK_DAYS,SATURDAY,SUNDAY,EVENT_DAYS,VEHICLES,ROUTE,LANE_TYPE,ROADTYPE,YEAR_REMOVED,DATASET_LAST_UPDATED,Shape__Length
50870,4d052e1d-2055-4bcd-b9cf-7d223091e0bc,Live,134,North West,Nearside,Burnt Oak Broadway,Barnet,"07:00-10:00, 16:00-19:00","07:00-10:00, 16:00-19:00",Not in Operation,Not Applicable,"Bus, Cycle and Taxi","32, 142, 292, N32, UL55",Not Applicable,Borough,,2024/08/13 00:00:00+00,134.183572336351
50871,e96b77f2-d6d0-46f6-992a-3986dc6bcfa1,Live,67,East,Nearside,Ripple Road,Barking & Dagenham,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle and Taxi","173, 287, 687",Not Applicable,TLRN,,2024/08/13 00:00:00+00,66.7893991532179
50872,e9751faf-1210-4495-b077-cbadacc60f03,Live,41,South West,Nearside,Lambeth Road,Transport for London,07:00-19:00,07:00-19:00,Not in Operation,Not Applicable,"Bus, Cycle and Taxi","3, 344, N3",Not Applicable,Borough,,2024/08/13 00:00:00+00,40.6517177848068
50873,44cfb547-9065-4191-97a7-51688d013e18,Live,77,East,Nearside,Priory Road,Haringey,"07:00-10:00, 16:00-19:00","07:00-10:00, 16:00-19:00",Not in Operation,Not Applicable,"Bus, Cycle and Taxi","144, W3",Not Applicable,Borough,,2024/08/13 00:00:00+00,76.7641054806193
50874,6453fca5-54af-4b47-8cca-d9ee98d1dacf,Live,337,North,Nearside,Upper Clapton Road,Transport for London,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle, Motorcycle and Taxi","106, 253, 254, 393, 425, N253, UL10, UL40, UL60, UL69",Not Applicable,TLRN,,2024/08/13 00:00:00+00,337.492122885861
50875,76f13100-d747-417c-96c1-f43df7eb25f4,Live,314,North East,Nearside,Seven Sisters Road,Transport for London,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle, Motorcycle and Taxi","4, 29, 91, 153, 253, 254, 259, N29, N91, N253, N279",Not Applicable,TLRN,,2024/08/13 00:00:00+00,313.80781774342
50876,207806cc-e81e-4bc0-b126-1c36247ae5d9,Live,120,East,Nearside,Ripple Road,Barking & Dagenham,16:00-19:00,16:00-19:00,Not in Operation,Not Applicable,"Bus, Cycle and Taxi","287, 368, 687",Not Applicable,Borough,,2024/08/13 00:00:00+00,119.743765738845
50877,c66a39e1-c368-4e46-b80c-b6210be903a5,Live,170,South West,Nearside,St John's Way,Islington,07:00-19:00,Not in Operation,Not in Operation,Not Applicable,"Bus, Cycle and Taxi","41, 210, N41, UL8, UL28",Not Applicable,Borough,,2024/08/13 00:00:00+00,170.067472561176
50878,15ca3b48-4271-4691-9ac9-bd36df8acc75,Live,62,East,Nearside,Clapham Park Road,Lambeth,07:00-19:00,07:00-19:00,Not in Operation,Not Applicable,"Bus, Cycle and Taxi","35, 37, 137, 417, 690, N137, UL3",Not Applicable,Borough,,2024/08/13 00:00:00+00,62.1036908027326
50879,e4a38b8a-e378-4bd1-a70a-92447b19ac70,Live,126,South,Nearside,Fore Street,Enfield,"07:00-10:00, 16:00-19:00","07:00-10:00, 16:00-19:00",Not in Operation,Not Applicable,"Bus, Cycle and Taxi","149, 259, 279, 349, N279, UL18, UL50, UL65, UL66",Not Applicable,Borough,,2024/08/13 00:00:00+00,125.672523848067
50880,73b36766-a755-4cbd-9eba-afb23fee8a8a,Live,340,East,Nearside,Wood Lane,Barking & Dagenham,15:00-19:00,15:00-19:00,Not in Operation,Not Applicable,"Bus, Cycle and Taxi","5, 145, 364, EL2, N15, UL25",Not Applicable,Borough,,2024/08/13 00:00:00+00,339.757776579374
50881,9896a68a-8222-45c8-a3cb-743a7fd27ef5,Live,164,North,Nearside,Rainsford Road,Brent,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,Bus and Cycle,No Routes,Not Applicable,Borough,,2024/08/13 00:00:00+00,163.520205215469
50882,6a33d39c-f120-4f6b-9418-a5e020b6e722,Live,332,South East,Nearside,Dog Kennel Hill,Southwark,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle and Taxi","40, 42, 176, 185, 484, P13, UL3",Not Applicable,Borough,,2024/08/13 00:00:00+00,332.163312945981
50883,1fef0f30-113e-43db-bec9-2d1c9fd45f32,Live,214,South East,Nearside,Uxbridge Road,Ealing,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle and Taxi","207, 483, N7, N83, N207, SL8, UL29, UL36, UL38, UL91, Y7N",Not Applicable,Borough,,2024/08/13 00:00:00+00,214.053083310543
50884,370d4904-15ce-45d9-9cab-735e97069b5f,Live,1216,South East,Nearside,Park Lane,Transport for London,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle, Motorcycle and Taxi","2, 6, 7, 13, 23, 36, 74, 94, 98, 137, 148, 274, 390, 414, N2, N7, N32, N74, N98, N137, N207, Y7, Y7N, Y23, Y36, Y94, Y148, Y414",Not Applicable,TLRN,,2024/08/13 00:00:00+00,1215.81826031126
